Image,PID,Group,Age,Gender,ClickX,ClickY,Click
1,310,B,21,Female,847,726,"(847, 726)"
1,133,B,55,Male,654,592,"(654, 592)"
1,27,B,34,Female,891,717,"(891, 717)"
1,328,B,24,Female,870,701,"(870, 701)"
1,270,B,20,Male,882,704,"(882, 704)"
1,135,B,31,Female,363,1215,"(363, 1215)"
1,70,B,19,Male,893,681,"(893, 681)"
1,33,B,53,Female,180,73,"(180, 73)"
1,316,B,19,Female,895,830,"(895, 830)"
1,127,B,37,Female,625,591,"(625, 591)"
1,263,B,35,Male,794,740,"(794, 740)"
1,98,B,60,Female,660,1871,"(660, 1871)"
1,23,B,23,Male,874,732,"(874, 732)"
1,210,B,48,Male,264,1217,"(264, 1217)"
1,172,B,56,Female,640,615,"(640, 615)"
1,68,B,36,Female,901,1013,"(901, 1013)"
1,359,B,19,Female,289,1234,"(289, 1234)"
1,198,B,31,Female,849,727,"(849, 727)"
1,79,B,41,Female,610,1897,"(610, 1897)"
1,259,B,57,Male,870,690,"(870, 690)"
1,227,B,50,Female,409,598,"(409, 598)"
1,254,B,39,Female,943,693,"(943, 693)"
1,138,B,22,Male,955,788,"(955, 788)"
1,142,B,65,Female,484,1240,"(484, 1240)"
1,275,B,46,Male,343,1230,"(343, 1230)"
1,250,B,67,Female,644,1876,"(644, 1876)"
1,147,B,50,Female,291,459,"(291, 459)"
1,214,B,29,Female,717,269,"(717, 269)"
1,129,B,43,Female,896,699,"(896, 699)"
1,9,B,40,Male,105,1355,"(105, 1355)"
1,281,B,48,Female,828,746,"(828, 746)"
1,132,B,41,Female,875,711,"(875, 711)"
1,206,B,52,Female,897,633,"(897, 633)"
1,358,B,18,Female,886,689,"(886, 689)"
1,258,B,23,Male,655,640,"(655, 640)"
1,12,B,36,Male,638,1844,"(638, 1844)"
1,368,B,19,Female,857,718,"(857, 718)"
1,278,B,23,Male,822,708,"(822, 708)"
1,153,B,49,Female,513,881,"(513, 881)"
1,229,B,51,Female,903,717,"(903, 717)"
1,279,B,20,Male,70,79,"(70, 79)"
1,158,B,52,Female,141,1357,"(141, 1357)"
1,245,B,50,Female,533,980,"(533, 980)"
1,289,B,20,Male,883,703,"(883, 703)"
1,268,B,55,Female,663,1853,"(663, 1853)"
1,288,B,23,Female,202,606,"(202, 606)"
1,273,B,33,Male,452,259,"(452, 259)"
1,61,B,24,Female,153,422,"(153, 422)"
1,283,B,28,Female,775,729,"(775, 729)"
1,195,B,54,Female,568,664,"(568, 664)"
1,22,B,21,Male,811,730,"(811, 730)"
1,336,B,19,Female,897,703,"(897, 703)"
1,84,B,47,Female,982,635,"(982, 635)"
1,103,B,27,Male,854,697,"(854, 697)"
1,13,B,32,Female,622,262,"(622, 262)"
1,174,B,42,Male,312,1245,"(312, 1245)"
1,296,B,23,Male,800,689,"(800, 689)"
1,272,B,56,Female,553,269,"(553, 269)"
1,186,B,37,Male,841,703,"(841, 703)"
1,3,B,27,Male,357,1214,"(357, 1214)"
1,363,B,21,Male,951,700,"(951, 700)"
1,276,B,37,Male,176,240,"(176, 240)"
1,225,B,57,Female,626,1864,"(626, 1864)"
1,102,B,41,Female,868,719,"(868, 719)"
1,211,B,53,Female,505,1228,"(505, 1228)"
1,267,B,32,Male,633,1861,"(633, 1861)"
1,19,B,52,Female,847,707,"(847, 707)"
1,304,B,19,Female,873,880,"(873, 880)"
1,313,B,21,Female,634,2048,"(634, 2048)"
1,120,B,53,Female,840,717,"(840, 717)"
1,108,B,34,Female,879,704,"(879, 704)"
1,216,B,28,Female,918,672,"(918, 672)"
1,244,B,53,Female,913,701,"(913, 701)"
1,188,B,56,Male,920,747,"(920, 747)"
1,24,B,41,Male,593,1243,"(593, 1243)"
1,322,B,19,Female,886,721,"(886, 721)"
1,139,B,19,Male,879,674,"(879, 674)"
1,126,B,39,Female,800,781,"(800, 781)"
1,76,B,30,Male,351,1211,"(351, 1211)"
1,357,B,31,Female,366,1260,"(366, 1260)"
1,209,B,42,Female,883,669,"(883, 669)"
1,208,B,30,Female,883,732,"(883, 732)"
1,364,B,19,Female,849,724,"(849, 724)"
1,146,B,21,Male,196,612,"(196, 612)"
1,112,B,47,Female,829,700,"(829, 700)"
1,118,B,51,Female,442,1212,"(442, 1212)"
1,347,B,18,Female,892,967,"(892, 967)"
1,246,B,37,Female,667,1870,"(667, 1870)"
1,321,B,18,Female,853,706,"(853, 706)"
1,277,B,46,Male,389,1211,"(389, 1211)"
1,340,B,18,Female,633,2058,"(633, 2058)"
1,31,B,54,Male,637,1859,"(637, 1859)"
1,207,B,32,Male,849,661,"(849, 661)"
1,7,B,20,Male,874,713,"(874, 713)"
1,249,B,54,Female,855,710,"(855, 710)"
1,48,B,42,Female,382,1211,"(382, 1211)"
1,157,B,44,Female,558,607,"(558, 607)"
1,264,B,38,Female,900,702,"(900, 702)"
1,154,B,44,Female,894,656,"(894, 656)"
1,360,B,18,Female,630,2121,"(630, 2121)"
1,95,B,23,Male,779,712,"(779, 712)"
1,365,B,18,Male,916,696,"(916, 696)"
1,149,B,43,Female,561,611,"(561, 611)"
1,256,B,53,Female,490,834,"(490, 834)"
1,248,B,39,Female,896,713,"(896, 713)"
1,88,B,32,Male,872,698,"(872, 698)"
1,337,B,18,Female,365,777,"(365, 777)"
1,333,B,24,Male,885,677,"(885, 677)"
1,73,B,61,Female,143,471,"(143, 471)"
1,269,B,27,Male,903,709,"(903, 709)"
1,178,B,39,Female,561,984,"(561, 984)"
1,136,B,57,Male,875,696,"(875, 696)"
1,243,B,54,Female,907,695,"(907, 695)"
1,242,B,32,Female,622,1857,"(622, 1857)"
1,320,B,19,Female,853,929,"(853, 929)"
1,265,B,66,Female,288,462,"(288, 462)"
1,111,B,44,Male,287,1198,"(287, 1198)"
1,62,B,51,Female,604,1558,"(604, 1558)"
1,159,B,36,Male,448,257,"(448, 257)"
1,344,B,18,Female,864,695,"(864, 695)"
1,205,B,54,Female,882,703,"(882, 703)"
1,291,B,20,Male,137,459,"(137, 459)"
1,47,B,21,Male,348,1224,"(348, 1224)"
1,240,B,17,Female,836,697,"(836, 697)"
1,221,B,51,Female,705,245,"(705, 245)"
1,251,B,49,Female,515,615,"(515, 615)"
1,260,B,57,Female,915,689,"(915, 689)"
1,81,B,33,Female,890,768,"(890, 768)"
1,236,B,37,Female,802,1852,"(802, 1852)"
1,252,B,52,Female,663,861,"(663, 861)"
1,20,B,56,Female,759,1860,"(759, 1860)"
1,54,B,53,Female,650,1872,"(650, 1872)"
