Image,PID,Group,Age,Gender,ClickX,ClickY,Click
9,334,A,20,Female,705,278,"(705, 278)"
9,4,A,20,Male,1368,803,"(1368, 803)"
9,315,A,18,Male,1572,1230,"(1572, 1230)"
9,295,A,20,Male,1236,785,"(1236, 785)"
9,151,A,50,Female,1373,814,"(1373, 814)"
9,93,A,48,Male,1325,867,"(1325, 867)"
9,201,A,28,Female,1172,808,"(1172, 808)"
9,343,A,20,Female,926,159,"(926, 159)"
9,5,A,27,Male,872,257,"(872, 257)"
9,348,A,18,Female,853,1105,"(853, 1105)"
9,213,A,51,Female,895,206,"(895, 206)"
9,237,A,19,Female,853,259,"(853, 259)"
9,171,A,51,Male,932,620,"(932, 620)"
9,161,A,41,Female,420,220,"(420, 220)"
9,63,A,26,Female,947,801,"(947, 801)"
9,109,A,30,Female,960,548,"(960, 548)"
9,45,A,34,Female,763,300,"(763, 300)"
9,58,A,59,Male,783,610,"(783, 610)"
9,222,A,42,Male,1055,757,"(1055, 757)"
9,60,A,20,Male,909,854,"(909, 854)"
9,25,A,26,Female,866,232,"(866, 232)"
9,180,A,38,Male,651,383,"(651, 383)"
9,202,A,46,Female,1380,265,"(1380, 265)"
9,115,A,33,Female,839,806,"(839, 806)"
9,82,A,21,Male,1664,1092,"(1664, 1092)"
9,327,A,19,Female,533,405,"(533, 405)"
9,125,A,17,Male,1401,790,"(1401, 790)"
9,35,A,43,Female,889,757,"(889, 757)"
9,30,A,64,Female,672,225,"(672, 225)"
9,74,A,64,Female,902,210,"(902, 210)"
9,349,A,19,Male,1359,1138,"(1359, 1138)"
9,179,A,35,Female,965,823,"(965, 823)"
9,134,A,37,Male,648,285,"(648, 285)"
9,67,A,59,Female,1063,849,"(1063, 849)"
9,43,A,31,Female,878,224,"(878, 224)"
9,71,A,47,Female,1014,821,"(1014, 821)"
9,220,A,21,Female,923,219,"(923, 219)"
9,170,A,46,Female,965,762,"(965, 762)"
9,167,A,38,Male,987,752,"(987, 752)"
9,104,A,50,Male,907,799,"(907, 799)"
9,163,A,46,Male,1864,979,"(1864, 979)"
9,297,A,51,Male,1273,381,"(1273, 381)"
9,303,A,35,Female,886,614,"(886, 614)"
9,354,A,19,Female,1315,837,"(1315, 837)"
9,197,A,50,Female,1329,819,"(1329, 819)"
9,11,A,31,Female,736,225,"(736, 225)"
9,113,A,20,Male,1020,785,"(1020, 785)"
9,46,A,45,Female,1323,218,"(1323, 218)"
9,329,A,20,Female,1152,755,"(1152, 755)"
9,92,A,28,Male,575,276,"(575, 276)"
9,300,A,23,Male,909,202,"(909, 202)"
9,41,A,28,Female,876,252,"(876, 252)"
9,361,A,19,Female,690,1022,"(690, 1022)"
9,224,A,23,Female,895,246,"(895, 246)"
9,318,A,19,Female,906,598,"(906, 598)"
9,338,A,18,Female,881,608,"(881, 608)"
9,66,A,30,Female,896,190,"(896, 190)"
9,192,A,49,Female,517,289,"(517, 289)"
9,326,A,18,Male,674,1155,"(674, 1155)"
9,176,A,20,Male,755,311,"(755, 311)"
9,218,A,47,Female,875,301,"(875, 301)"
9,193,A,48,Female,1340,815,"(1340, 815)"
9,38,A,39,Female,929,210,"(929, 210)"
9,212,A,53,Female,1438,827,"(1438, 827)"
9,6,A,53,Female,1114,534,"(1114, 534)"
9,105,A,32,Male,573,216,"(573, 216)"
9,290,A,20,Female,719,229,"(719, 229)"
9,314,A,25,Female,1479,924,"(1479, 924)"
9,156,A,43,Male,891,243,"(891, 243)"
9,231,A,18,Female,913,757,"(913, 757)"
9,185,A,26,Female,807,854,"(807, 854)"
9,52,A,28,Female,744,331,"(744, 331)"
9,184,A,53,Female,860,264,"(860, 264)"
9,65,A,25,Female,899,249,"(899, 249)"
9,165,A,31,Female,879,188,"(879, 188)"
9,56,A,21,Male,847,890,"(847, 890)"
9,183,A,39,Female,1363,284,"(1363, 284)"
9,323,A,19,Female,886,267,"(886, 267)"
9,90,A,20,Female,962,817,"(962, 817)"
9,2,A,17,Male,884,174,"(884, 174)"
9,116,A,28,Male,992,830,"(992, 830)"
9,123,A,40,Female,1359,824,"(1359, 824)"
9,18,A,40,Female,690,274,"(690, 274)"
9,239,A,46,Female,1049,920,"(1049, 920)"
9,331,A,18,Female,843,271,"(843, 271)"
9,87,A,17,Female,932,192,"(932, 192)"
9,117,A,44,Female,671,220,"(671, 220)"
9,324,A,19,Female,896,821,"(896, 821)"
9,164,A,54,Female,1290,785,"(1290, 785)"
9,189,A,44,Female,1470,557,"(1470, 557)"
9,181,A,54,Female,1253,214,"(1253, 214)"
9,14,A,20,Male,1058,555,"(1058, 555)"
9,1,A,20,Male,909,302,"(909, 302)"
9,89,A,20,Female,988,396,"(988, 396)"
9,200,A,31,Female,757,238,"(757, 238)"
9,325,A,18,Female,877,577,"(877, 577)"
9,110,A,22,Male,1070,551,"(1070, 551)"
9,175,A,43,Male,1355,786,"(1355, 786)"
9,145,A,19,Female,896,207,"(896, 207)"
9,292,A,54,Male,1312,786,"(1312, 786)"
9,312,A,18,Female,1285,837,"(1285, 837)"
9,122,A,39,Male,800,283,"(800, 283)"
9,173,A,41,Female,840,287,"(840, 287)"
9,319,A,27,Female,832,1115,"(832, 1115)"
9,190,A,48,Female,1021,779,"(1021, 779)"
9,305,A,20,Male,677,858,"(677, 858)"
9,217,A,32,Male,1266,725,"(1266, 725)"
9,287,A,21,Male,854,804,"(854, 804)"
9,196,A,28,Female,1015,777,"(1015, 777)"
9,59,A,15,Female,625,351,"(625, 351)"
9,234,A,21,Male,1598,28,"(1598, 28)"
9,80,A,19,Male,1156,323,"(1156, 323)"
9,53,A,20,Male,757,805,"(757, 805)"
9,131,A,54,Male,1312,254,"(1312, 254)"
9,299,A,39,Male,518,34,"(518, 34)"
9,204,A,40,Female,587,228,"(587, 228)"
9,141,A,21,Male,582,324,"(582, 324)"
9,143,A,56,Male,1008,815,"(1008, 815)"
9,96,A,24,Female,607,346,"(607, 346)"
9,219,A,24,Female,906,294,"(906, 294)"
9,97,A,50,Male,660,277,"(660, 277)"
9,34,A,20,Male,921,859,"(921, 859)"
9,235,A,43,Female,885,227,"(885, 227)"
9,39,A,21,Female,1365,801,"(1365, 801)"
9,230,A,55,Female,1261,813,"(1261, 813)"
9,15,A,52,Female,1260,850,"(1260, 850)"
9,128,A,20,Male,907,262,"(907, 262)"
9,160,A,24,Male,806,264,"(806, 264)"
9,121,A,58,Female,900,330,"(900, 330)"
9,307,A,19,Female,847,331,"(847, 331)"
9,32,A,54,Male,1381,884,"(1381, 884)"
9,8,A,30,Female,921,824,"(921, 824)"
