Image,PID,Group,Age,Gender,ClickX,ClickY,Click
6,334,A,20,Female,1023,958,"(1023, 958)"
6,4,A,20,Male,627,342,"(627, 342)"
6,315,A,18,Male,1744,827,"(1744, 827)"
6,295,A,20,Male,1703,903,"(1703, 903)"
6,151,A,50,Female,943,315,"(943, 315)"
6,93,A,48,Male,585,317,"(585, 317)"
6,201,A,28,Female,1378,635,"(1378, 635)"
6,343,A,20,Female,940,1007,"(940, 1007)"
6,5,A,27,Male,1354,340,"(1354, 340)"
6,348,A,18,Female,1220,1430,"(1220, 1430)"
6,213,A,51,Female,635,331,"(635, 331)"
6,237,A,19,Female,747,392,"(747, 392)"
6,171,A,51,Male,769,336,"(769, 336)"
6,161,A,41,Female,806,489,"(806, 489)"
6,63,A,26,Female,773,391,"(773, 391)"
6,109,A,30,Female,674,780,"(674, 780)"
6,45,A,34,Female,781,707,"(781, 707)"
6,58,A,59,Male,1390,963,"(1390, 963)"
6,222,A,42,Male,1480,127,"(1480, 127)"
6,60,A,20,Male,1291,612,"(1291, 612)"
6,25,A,26,Female,951,533,"(951, 533)"
6,180,A,38,Male,822,755,"(822, 755)"
6,202,A,46,Female,955,570,"(955, 570)"
6,115,A,33,Female,1043,542,"(1043, 542)"
6,327,A,19,Female,1173,1805,"(1173, 1805)"
6,125,A,17,Male,895,762,"(895, 762)"
6,35,A,43,Female,918,555,"(918, 555)"
6,30,A,64,Female,955,592,"(955, 592)"
6,349,A,19,Male,951,941,"(951, 941)"
6,179,A,35,Female,1347,600,"(1347, 600)"
6,134,A,37,Male,649,820,"(649, 820)"
6,67,A,59,Female,871,356,"(871, 356)"
6,43,A,31,Female,1358,297,"(1358, 297)"
6,71,A,47,Female,1142,95,"(1142, 95)"
6,220,A,21,Female,565,634,"(565, 634)"
6,170,A,46,Female,830,311,"(830, 311)"
6,167,A,38,Male,1329,581,"(1329, 581)"
6,104,A,50,Male,827,347,"(827, 347)"
6,163,A,46,Male,1859,467,"(1859, 467)"
6,297,A,51,Male,1332,435,"(1332, 435)"
6,303,A,35,Female,631,707,"(631, 707)"
6,354,A,19,Female,765,377,"(765, 377)"
6,197,A,50,Female,783,340,"(783, 340)"
6,11,A,31,Female,875,587,"(875, 587)"
6,113,A,20,Male,945,545,"(945, 545)"
6,46,A,45,Female,722,326,"(722, 326)"
6,329,A,20,Female,1541,1732,"(1541, 1732)"
6,92,A,28,Male,719,369,"(719, 369)"
6,300,A,23,Male,786,65,"(786, 65)"
6,41,A,28,Female,798,376,"(798, 376)"
6,302,A,18,Female,1043,1624,"(1043, 1624)"
6,224,A,23,Female,784,376,"(784, 376)"
6,318,A,19,Female,724,790,"(724, 790)"
6,338,A,18,Female,743,667,"(743, 667)"
6,66,A,30,Female,923,15,"(923, 15)"
6,192,A,49,Female,480,533,"(480, 533)"
6,326,A,18,Male,532,509,"(532, 509)"
6,176,A,20,Male,1076,578,"(1076, 578)"
6,218,A,47,Female,1397,325,"(1397, 325)"
6,38,A,39,Female,791,312,"(791, 312)"
6,212,A,53,Female,779,1546,"(779, 1546)"
6,6,A,53,Female,1240,615,"(1240, 615)"
6,105,A,32,Male,797,332,"(797, 332)"
6,314,A,25,Female,911,1142,"(911, 1142)"
6,156,A,43,Male,1067,41,"(1067, 41)"
6,231,A,18,Female,749,978,"(749, 978)"
6,185,A,26,Female,1368,349,"(1368, 349)"
6,52,A,28,Female,862,339,"(862, 339)"
6,184,A,53,Female,821,303,"(821, 303)"
6,65,A,25,Female,997,117,"(997, 117)"
6,165,A,31,Female,1314,640,"(1314, 640)"
6,56,A,21,Male,586,526,"(586, 526)"
6,183,A,39,Female,762,332,"(762, 332)"
6,323,A,19,Female,670,509,"(670, 509)"
6,90,A,20,Female,1268,580,"(1268, 580)"
6,2,A,17,Male,689,335,"(689, 335)"
6,116,A,28,Male,814,407,"(814, 407)"
6,123,A,40,Female,1295,603,"(1295, 603)"
6,18,A,40,Female,857,355,"(857, 355)"
6,239,A,46,Female,721,377,"(721, 377)"
6,331,A,18,Female,843,625,"(843, 625)"
6,87,A,17,Female,969,466,"(969, 466)"
6,117,A,44,Female,1310,611,"(1310, 611)"
6,324,A,19,Female,1424,294,"(1424, 294)"
