Image,PID,Group,Age,Gender,ClickX,ClickY,Click
3,334,A,20,Female,1524,313,"(1524, 313)"
3,4,A,20,Male,209,798,"(209, 798)"
3,315,A,18,Male,511,2050,"(511, 2050)"
3,295,A,20,Male,703,376,"(703, 376)"
3,151,A,50,Female,1014,1754,"(1014, 1754)"
3,93,A,48,Male,700,339,"(700, 339)"
3,201,A,28,Female,711,567,"(711, 567)"
3,343,A,20,Female,487,546,"(487, 546)"
3,5,A,27,Male,913,625,"(913, 625)"
3,348,A,18,Female,824,1680,"(824, 1680)"
3,213,A,51,Female,343,354,"(343, 354)"
3,237,A,19,Female,360,680,"(360, 680)"
3,171,A,51,Male,637,1202,"(637, 1202)"
3,161,A,41,Female,206,804,"(206, 804)"
3,63,A,26,Female,467,418,"(467, 418)"
3,109,A,30,Female,996,1747,"(996, 1747)"
3,45,A,34,Female,329,1501,"(329, 1501)"
3,58,A,59,Male,356,1478,"(356, 1478)"
3,222,A,42,Male,622,854,"(622, 854)"
3,60,A,20,Male,514,1411,"(514, 1411)"
3,25,A,26,Female,295,813,"(295, 813)"
3,180,A,38,Male,503,1848,"(503, 1848)"
3,202,A,46,Female,278,1825,"(278, 1825)"
3,115,A,33,Female,623,566,"(623, 566)"
3,327,A,19,Female,454,2061,"(454, 2061)"
3,125,A,17,Male,508,1040,"(508, 1040)"
3,35,A,43,Female,312,272,"(312, 272)"
3,30,A,64,Female,381,1209,"(381, 1209)"
3,349,A,19,Male,283,2049,"(283, 2049)"
3,179,A,35,Female,419,470,"(419, 470)"
3,134,A,37,Male,324,1811,"(324, 1811)"
3,67,A,59,Female,615,422,"(615, 422)"
3,43,A,31,Female,848,612,"(848, 612)"
3,71,A,47,Female,349,1481,"(349, 1481)"
3,220,A,21,Female,987,1725,"(987, 1725)"
3,170,A,46,Female,393,617,"(393, 617)"
3,167,A,38,Male,339,860,"(339, 860)"
3,223,A,55,Female,558,965,"(558, 965)"
3,104,A,50,Male,351,1251,"(351, 1251)"
3,163,A,46,Male,24,628,"(24, 628)"
3,297,A,51,Male,883,590,"(883, 590)"
3,303,A,35,Female,600,702,"(600, 702)"
3,354,A,19,Female,495,660,"(495, 660)"
3,197,A,50,Female,237,798,"(237, 798)"
3,11,A,31,Female,1032,1761,"(1032, 1761)"
3,113,A,20,Male,560,810,"(560, 810)"
3,46,A,45,Female,844,1198,"(844, 1198)"
3,329,A,20,Female,662,646,"(662, 646)"
3,92,A,28,Male,895,590,"(895, 590)"
3,300,A,23,Male,314,742,"(314, 742)"
3,41,A,28,Female,514,859,"(514, 859)"
3,302,A,18,Female,279,2043,"(279, 2043)"
3,224,A,23,Female,404,798,"(404, 798)"
3,318,A,19,Female,263,1015,"(263, 1015)"
3,338,A,18,Female,881,848,"(881, 848)"
3,66,A,30,Female,441,482,"(441, 482)"
3,192,A,49,Female,258,1205,"(258, 1205)"
3,326,A,18,Male,316,2053,"(316, 2053)"
3,176,A,20,Male,886,857,"(886, 857)"
3,218,A,47,Female,475,1240,"(475, 1240)"
3,38,A,39,Female,464,1251,"(464, 1251)"
3,212,A,53,Female,456,1482,"(456, 1482)"
3,6,A,53,Female,310,1848,"(310, 1848)"
3,105,A,32,Male,537,369,"(537, 369)"
3,290,A,20,Female,864,623,"(864, 623)"
3,314,A,25,Female,553,1637,"(553, 1637)"
3,156,A,43,Male,456,1298,"(456, 1298)"
3,231,A,18,Female,321,1834,"(321, 1834)"
3,185,A,26,Female,426,437,"(426, 437)"
3,52,A,28,Female,1000,799,"(1000, 799)"
3,184,A,53,Female,784,560,"(784, 560)"
3,65,A,25,Female,542,516,"(542, 516)"
3,165,A,31,Female,482,339,"(482, 339)"
3,56,A,21,Male,273,730,"(273, 730)"
3,183,A,39,Female,758,848,"(758, 848)"
3,323,A,19,Female,881,890,"(881, 890)"
3,90,A,20,Female,533,429,"(533, 429)"
3,2,A,17,Male,484,1254,"(484, 1254)"
3,116,A,28,Male,582,296,"(582, 296)"
3,123,A,40,Female,547,794,"(547, 794)"
3,18,A,40,Female,848,1280,"(848, 1280)"
3,239,A,46,Female,361,357,"(361, 357)"
3,331,A,18,Female,262,804,"(262, 804)"
3,87,A,17,Female,790,604,"(790, 604)"
3,117,A,44,Female,231,1204,"(231, 1204)"
3,324,A,19,Female,282,810,"(282, 810)"
3,164,A,54,Female,902,601,"(902, 601)"
3,189,A,44,Female,523,514,"(523, 514)"
3,181,A,54,Female,660,411,"(660, 411)"
3,14,A,20,Male,281,828,"(281, 828)"
3,1,A,20,Male,234,819,"(234, 819)"
3,89,A,20,Female,559,580,"(559, 580)"
3,200,A,31,Female,846,1295,"(846, 1295)"
3,325,A,18,Female,852,593,"(852, 593)"
3,110,A,22,Male,795,1131,"(795, 1131)"
3,175,A,43,Male,465,1286,"(465, 1286)"
3,145,A,19,Female,509,628,"(509, 628)"
3,292,A,54,Male,628,329,"(628, 329)"
3,312,A,18,Female,483,1845,"(483, 1845)"
3,173,A,41,Female,273,814,"(273, 814)"
3,319,A,27,Female,313,1940,"(313, 1940)"
3,190,A,48,Female,737,801,"(737, 801)"
3,305,A,20,Male,500,516,"(500, 516)"
3,217,A,32,Male,874,822,"(874, 822)"
3,287,A,21,Male,557,515,"(557, 515)"
