Image,PID,Group,Age,Gender,ClickX,ClickY,Click
0,334,A,20,Female,645,519,"(645, 519)"
0,4,A,20,Male,604,421,"(604, 421)"
0,295,A,20,Male,607,492,"(607, 492)"
0,151,A,50,Female,650,413,"(650, 413)"
0,93,A,48,Male,560,427,"(560, 427)"
0,201,A,28,Female,615,428,"(615, 428)"
0,343,A,20,Female,615,647,"(615, 647)"
0,5,A,27,Male,608,466,"(608, 466)"
0,348,A,18,Female,877,1277,"(877, 1277)"
0,213,A,51,Female,621,503,"(621, 503)"
0,237,A,19,Female,613,408,"(613, 408)"
0,171,A,51,Male,694,425,"(694, 425)"
0,161,A,41,Female,489,518,"(489, 518)"
0,63,A,26,Female,558,417,"(558, 417)"
0,109,A,30,Female,1078,706,"(1078, 706)"
0,45,A,34,Female,920,67,"(920, 67)"
0,58,A,59,Male,646,487,"(646, 487)"
0,222,A,42,Male,650,352,"(650, 352)"
0,60,A,20,Male,615,426,"(615, 426)"
0,25,A,26,Female,624,483,"(624, 483)"
0,180,A,38,Male,1074,471,"(1074, 471)"
0,202,A,46,Female,540,540,"(540, 540)"
0,115,A,33,Female,570,408,"(570, 408)"
0,82,A,21,Male,1675,1321,"(1675, 1321)"
0,327,A,19,Female,1646,1240,"(1646, 1240)"
0,125,A,17,Male,710,442,"(710, 442)"
0,35,A,43,Female,607,416,"(607, 416)"
0,30,A,64,Female,1499,358,"(1499, 358)"
0,349,A,19,Male,601,779,"(601, 779)"
0,179,A,35,Female,587,437,"(587, 437)"
0,134,A,37,Male,604,674,"(604, 674)"
0,67,A,59,Female,475,451,"(475, 451)"
0,43,A,31,Female,571,419,"(571, 419)"
0,71,A,47,Female,660,432,"(660, 432)"
0,220,A,21,Female,1467,374,"(1467, 374)"
0,170,A,46,Female,601,446,"(601, 446)"
0,167,A,38,Male,767,482,"(767, 482)"
0,104,A,50,Male,581,459,"(581, 459)"
0,163,A,46,Male,1035,369,"(1035, 369)"
0,297,A,51,Male,604,483,"(604, 483)"
0,303,A,35,Female,617,781,"(617, 781)"
0,354,A,19,Female,1190,557,"(1190, 557)"
0,197,A,50,Female,596,414,"(596, 414)"
0,11,A,31,Female,571,496,"(571, 496)"
0,113,A,20,Male,670,495,"(670, 495)"
0,46,A,45,Female,592,409,"(592, 409)"
0,329,A,20,Female,670,657,"(670, 657)"
0,92,A,28,Male,570,457,"(570, 457)"
0,300,A,23,Male,584,417,"(584, 417)"
0,41,A,28,Female,645,455,"(645, 455)"
0,302,A,18,Female,1693,1295,"(1693, 1295)"
0,224,A,23,Female,591,427,"(591, 427)"
0,318,A,19,Female,596,829,"(596, 829)"
0,338,A,18,Female,655,795,"(655, 795)"
0,66,A,30,Female,1408,414,"(1408, 414)"
0,192,A,49,Female,539,480,"(539, 480)"
0,326,A,18,Male,601,652,"(601, 652)"
0,176,A,20,Male,1046,430,"(1046, 430)"
0,218,A,47,Female,596,472,"(596, 472)"
0,193,A,48,Female,970,270,"(970, 270)"
0,38,A,39,Female,597,383,"(597, 383)"
0,212,A,53,Female,839,999,"(839, 999)"
0,6,A,53,Female,634,499,"(634, 499)"
0,105,A,32,Male,587,379,"(587, 379)"
0,314,A,25,Female,1447,1379,"(1447, 1379)"
0,156,A,43,Male,1061,376,"(1061, 376)"
0,231,A,18,Female,600,429,"(600, 429)"
0,185,A,26,Female,640,460,"(640, 460)"
0,52,A,28,Female,594,419,"(594, 419)"
0,184,A,53,Female,562,411,"(562, 411)"
0,65,A,25,Female,606,455,"(606, 455)"
0,165,A,31,Female,543,434,"(543, 434)"
0,56,A,21,Male,586,526,"(586, 526)"
0,183,A,39,Female,572,415,"(572, 415)"
0,323,A,19,Female,596,1037,"(596, 1037)"
0,90,A,20,Female,560,388,"(560, 388)"
0,2,A,17,Male,567,403,"(567, 403)"
0,116,A,28,Male,1067,763,"(1067, 763)"
0,123,A,40,Female,625,361,"(625, 361)"
0,18,A,40,Female,624,451,"(624, 451)"
0,239,A,46,Female,601,497,"(601, 497)"
0,331,A,18,Female,587,495,"(587, 495)"
0,87,A,17,Female,603,442,"(603, 442)"
0,117,A,44,Female,466,616,"(466, 616)"
0,324,A,19,Female,693,485,"(693, 485)"
0,164,A,54,Female,640,395,"(640, 395)"
0,189,A,44,Female,615,422,"(615, 422)"
0,181,A,54,Female,608,422,"(608, 422)"
0,14,A,20,Male,599,421,"(599, 421)"
0,1,A,20,Male,615,432,"(615, 432)"
0,89,A,20,Female,988,396,"(988, 396)"
0,200,A,31,Female,635,504,"(635, 504)"
0,325,A,18,Female,704,820,"(704, 820)"
0,110,A,22,Male,1450,670,"(1450, 670)"
0,175,A,43,Male,651,462,"(651, 462)"
0,145,A,19,Female,625,432,"(625, 432)"
0,292,A,54,Male,597,419,"(597, 419)"
0,312,A,18,Female,640,418,"(640, 418)"
0,173,A,41,Female,620,392,"(620, 392)"
0,319,A,27,Female,1502,997,"(1502, 997)"
0,190,A,48,Female,1063,379,"(1063, 379)"
0,305,A,20,Male,606,612,"(606, 612)"
0,217,A,32,Male,580,781,"(580, 781)"
0,287,A,21,Male,605,483,"(605, 483)"
0,196,A,28,Female,1095,397,"(1095, 397)"
0,59,A,15,Female,596,439,"(596, 439)"
0,234,A,21,Male,1275,103,"(1275, 103)"
0,80,A,19,Male,951,554,"(951, 554)"
0,53,A,20,Male,1440,347,"(1440, 347)"
0,131,A,54,Male,613,472,"(613, 472)"
0,299,A,39,Male,1656,1050,"(1656, 1050)"
0,204,A,40,Female,377,628,"(377, 628)"
0,141,A,21,Male,995,365,"(995, 365)"
0,143,A,56,Male,629,384,"(629, 384)"
0,219,A,24,Female,604,381,"(604, 381)"
0,97,A,50,Male,1455,397,"(1455, 397)"
0,34,A,20,Male,650,430,"(650, 430)"
0,235,A,43,Female,528,435,"(528, 435)"
0,39,A,21,Female,604,426,"(604, 426)"
0,230,A,55,Female,510,419,"(510, 419)"
0,15,A,52,Female,591,455,"(591, 455)"
0,128,A,20,Male,645,432,"(645, 432)"
0,160,A,24,Male,645,386,"(645, 386)"
0,121,A,58,Female,561,461,"(561, 461)"
0,307,A,19,Female,596,519,"(596, 519)"
0,32,A,54,Male,741,416,"(741, 416)"
0,8,A,30,Female,576,455,"(576, 455)"
0,367,A,20,Male,905,331,"(905, 331)"
0,144,A,22,Male,606,431,"(606, 431)"
0,298,A,37,Female,619,358,"(619, 358)"
0,169,A,61,Female,1490,387,"(1490, 387)"
0,17,A,52,Female,588,455,"(588, 455)"
0,26,A,39,Female,656,406,"(656, 406)"
0,342,A,18,Male,545,400,"(545, 400)"
0,100,A,16,Female,620,451,"(620, 451)"
0,177,A,36,Female,1467,363,"(1467, 363)"
0,91,A,52,Female,606,509,"(606, 509)"
0,148,A,42,Female,616,420,"(616, 420)"
0,187,A,45,Female,926,1051,"(926, 1051)"
0,124,A,59,Male,612,439,"(612, 439)"
0,72,A,26,Female,1124,702,"(1124, 702)"
0,119,A,35,Female,620,445,"(620, 445)"
0,353,A,20,Female,614,406,"(614, 406)"
0,317,A,18,Female,977,1007,"(977, 1007)"
0,44,A,17,Female,1073,458,"(1073, 458)"
0,232,A,17,Female,570,466,"(570, 466)"
0,233,A,22,Male,681,494,"(681, 494)"
0,77,A,23,Male,1852,1043,"(1852, 1043)"
0,106,A,51,Female,588,468,"(588, 468)"
0,332,A,22,Female,651,432,"(651, 432)"
0,64,A,22,Male,613,456,"(613, 456)"
0,311,A,27,Female,589,614,"(589, 614)"
0,36,A,23,Male,599,431,"(599, 431)"
0,130,A,42,Female,645,435,"(645, 435)"
0,150,A,35,Female,1519,376,"(1519, 376)"
0,83,A,51,Female,528,415,"(528, 415)"
0,166,A,28,Female,591,432,"(591, 432)"
0,51,A,25,Female,542,387,"(542, 387)"
0,199,A,56,Female,583,416,"(583, 416)"
0,16,A,20,Male,510,437,"(510, 437)"
0,69,A,22,Female,602,413,"(602, 413)"
