Image,PID,Group,Age,Gender,ClickX,ClickY,Click
5,334,A,20,Female,1202,900,"(1202, 900)"
5,4,A,20,Male,1275,511,"(1275, 511)"
5,315,A,18,Male,1234,1286,"(1234, 1286)"
5,295,A,20,Male,1263,532,"(1263, 532)"
5,151,A,50,Female,1212,228,"(1212, 228)"
5,93,A,48,Male,570,352,"(570, 352)"
5,201,A,28,Female,1246,468,"(1246, 468)"
5,343,A,20,Female,684,746,"(684, 746)"
5,5,A,27,Male,1299,503,"(1299, 503)"
5,348,A,18,Female,1563,1152,"(1563, 1152)"
5,213,A,51,Female,1294,521,"(1294, 521)"
5,237,A,19,Female,1237,414,"(1237, 414)"
5,171,A,51,Male,1342,546,"(1342, 546)"
5,161,A,41,Female,596,274,"(596, 274)"
5,63,A,26,Female,1290,535,"(1290, 535)"
5,109,A,30,Female,601,568,"(601, 568)"
5,45,A,34,Female,776,784,"(776, 784)"
5,58,A,59,Male,838,1042,"(838, 1042)"
5,222,A,42,Male,1265,517,"(1265, 517)"
5,60,A,20,Male,1305,509,"(1305, 509)"
5,25,A,26,Female,1314,546,"(1314, 546)"
5,180,A,38,Male,914,522,"(914, 522)"
5,202,A,46,Female,1225,520,"(1225, 520)"
5,115,A,33,Female,1373,616,"(1373, 616)"
5,327,A,19,Female,1280,865,"(1280, 865)"
5,125,A,17,Male,1350,554,"(1350, 554)"
5,35,A,43,Female,1222,507,"(1222, 507)"
5,30,A,64,Female,1355,517,"(1355, 517)"
5,349,A,19,Male,1808,1160,"(1808, 1160)"
5,179,A,35,Female,1286,493,"(1286, 493)"
5,134,A,37,Male,787,515,"(787, 515)"
5,67,A,59,Female,1356,600,"(1356, 600)"
5,43,A,31,Female,1223,487,"(1223, 487)"
5,71,A,47,Female,1306,535,"(1306, 535)"
5,220,A,21,Female,555,847,"(555, 847)"
5,170,A,46,Female,1328,553,"(1328, 553)"
5,167,A,38,Male,1295,581,"(1295, 581)"
5,223,A,55,Female,1323,563,"(1323, 563)"
5,104,A,50,Male,1253,485,"(1253, 485)"
5,163,A,46,Male,1757,206,"(1757, 206)"
5,297,A,51,Male,1222,514,"(1222, 514)"
5,303,A,35,Female,594,693,"(594, 693)"
5,354,A,19,Female,1200,507,"(1200, 507)"
5,197,A,50,Female,1305,528,"(1305, 528)"
5,11,A,31,Female,629,326,"(629, 326)"
5,113,A,20,Male,1260,545,"(1260, 545)"
5,46,A,45,Female,1230,465,"(1230, 465)"
5,329,A,20,Female,1905,1757,"(1905, 1757)"
5,92,A,28,Male,1275,536,"(1275, 536)"
5,300,A,23,Male,1368,762,"(1368, 762)"
5,41,A,28,Female,502,193,"(502, 193)"
5,302,A,18,Female,1118,1323,"(1118, 1323)"
5,224,A,23,Female,500,329,"(500, 329)"
5,318,A,19,Female,1295,903,"(1295, 903)"
5,338,A,18,Female,620,701,"(620, 701)"
5,66,A,30,Female,1291,579,"(1291, 579)"
5,192,A,49,Female,917,315,"(917, 315)"
5,326,A,18,Male,1319,889,"(1319, 889)"
5,176,A,20,Male,823,300,"(823, 300)"
5,218,A,47,Female,528,350,"(528, 350)"
5,38,A,39,Female,1338,546,"(1338, 546)"
5,212,A,53,Female,881,897,"(881, 897)"
5,6,A,53,Female,1227,532,"(1227, 532)"
5,105,A,32,Male,1310,267,"(1310, 267)"
5,290,A,20,Female,1248,498,"(1248, 498)"
5,314,A,25,Female,749,1389,"(749, 1389)"
5,156,A,43,Male,1296,483,"(1296, 483)"
5,231,A,18,Female,1271,571,"(1271, 571)"
5,185,A,26,Female,1345,260,"(1345, 260)"
5,52,A,28,Female,613,296,"(613, 296)"
5,184,A,53,Female,1202,616,"(1202, 616)"
5,65,A,25,Female,1241,533,"(1241, 533)"
5,165,A,31,Female,1337,515,"(1337, 515)"
5,56,A,21,Male,563,226,"(563, 226)"
5,183,A,39,Female,1270,582,"(1270, 582)"
5,323,A,19,Female,1359,1037,"(1359, 1037)"
5,90,A,20,Female,1283,557,"(1283, 557)"
5,2,A,17,Male,1221,257,"(1221, 257)"
5,116,A,28,Male,1296,510,"(1296, 510)"
5,123,A,40,Female,1295,524,"(1295, 524)"
5,18,A,40,Female,1342,1049,"(1342, 1049)"
5,239,A,46,Female,1231,524,"(1231, 524)"
5,331,A,18,Female,1240,318,"(1240, 318)"
5,87,A,17,Female,1294,484,"(1294, 484)"
5,117,A,44,Female,550,551,"(550, 551)"
5,324,A,19,Female,1333,533,"(1333, 533)"
5,164,A,54,Female,1324,543,"(1324, 543)"
5,189,A,44,Female,1245,222,"(1245, 222)"
5,181,A,54,Female,1317,544,"(1317, 544)"
5,14,A,20,Male,686,301,"(686, 301)"
5,1,A,20,Male,615,362,"(615, 362)"
5,89,A,20,Female,1171,561,"(1171, 561)"
5,200,A,31,Female,1301,541,"(1301, 541)"
5,325,A,18,Female,1238,860,"(1238, 860)"
5,110,A,22,Male,1375,865,"(1375, 865)"
5,75,A,63,Female,1278,584,"(1278, 584)"
5,175,A,43,Male,1312,552,"(1312, 552)"
5,145,A,19,Female,594,335,"(594, 335)"
5,292,A,54,Male,1333,579,"(1333, 579)"
5,312,A,18,Female,1369,487,"(1369, 487)"
5,173,A,41,Female,1310,547,"(1310, 547)"
5,319,A,27,Female,1310,1224,"(1310, 1224)"
5,190,A,48,Female,1244,504,"(1244, 504)"
5,305,A,20,Male,1957,1469,"(1957, 1469)"
5,217,A,32,Male,1275,883,"(1275, 883)"
5,287,A,21,Male,787,339,"(787, 339)"
5,196,A,28,Female,1325,522,"(1325, 522)"
5,59,A,15,Female,772,821,"(772, 821)"
5,234,A,21,Male,790,173,"(790, 173)"
5,80,A,19,Male,497,328,"(497, 328)"
5,53,A,20,Male,1312,507,"(1312, 507)"
5,131,A,54,Male,1275,509,"(1275, 509)"
5,299,A,39,Male,479,112,"(479, 112)"
5,204,A,40,Female,587,307,"(587, 307)"
5,141,A,21,Male,729,804,"(729, 804)"
5,143,A,56,Male,1307,262,"(1307, 262)"
5,219,A,24,Female,609,325,"(609, 325)"
5,97,A,50,Male,880,857,"(880, 857)"
5,34,A,20,Male,714,317,"(714, 317)"
5,235,A,43,Female,1296,536,"(1296, 536)"
5,39,A,21,Female,1261,568,"(1261, 568)"
5,230,A,55,Female,561,303,"(561, 303)"
5,15,A,52,Female,1285,562,"(1285, 562)"
5,128,A,20,Male,1323,517,"(1323, 517)"
5,160,A,24,Male,635,308,"(635, 308)"
5,121,A,58,Female,583,346,"(583, 346)"
5,307,A,19,Female,1265,603,"(1265, 603)"
5,32,A,54,Male,1328,523,"(1328, 523)"
5,8,A,30,Female,1295,563,"(1295, 563)"
5,367,A,20,Male,1229,258,"(1229, 258)"
5,144,A,22,Male,1253,868,"(1253, 868)"
5,298,A,37,Female,574,304,"(574, 304)"
5,169,A,61,Female,910,632,"(910, 632)"
5,17,A,52,Female,1234,576,"(1234, 576)"
5,26,A,39,Female,619,331,"(619, 331)"
5,342,A,18,Male,1277,511,"(1277, 511)"
5,100,A,16,Female,760,93,"(760, 93)"
