Image,PID,Group,Age,Gender,ClickX,ClickY,Click
5,310,B,21,Female,1258,516,"(1258, 516)"
5,133,B,55,Male,821,355,"(821, 355)"
5,27,B,34,Female,576,575,"(576, 575)"
5,328,B,24,Female,1286,509,"(1286, 509)"
5,270,B,20,Male,1285,521,"(1285, 521)"
5,135,B,31,Female,1240,515,"(1240, 515)"
5,70,B,19,Male,1309,567,"(1309, 567)"
5,37,B,55,Female,1295,552,"(1295, 552)"
5,33,B,53,Female,702,69,"(702, 69)"
5,316,B,19,Female,1314,836,"(1314, 836)"
5,78,B,32,Female,1248,870,"(1248, 870)"
5,127,B,37,Female,1089,1381,"(1089, 1381)"
5,263,B,35,Male,513,574,"(513, 574)"
5,23,B,23,Male,997,950,"(997, 950)"
5,210,B,48,Male,832,116,"(832, 116)"
5,172,B,56,Female,1022,353,"(1022, 353)"
5,68,B,36,Female,1254,1060,"(1254, 1060)"
5,359,B,19,Female,1265,506,"(1265, 506)"
5,198,B,31,Female,592,360,"(592, 360)"
5,79,B,41,Female,1255,532,"(1255, 532)"
5,259,B,57,Male,1258,535,"(1258, 535)"
5,227,B,50,Female,572,328,"(572, 328)"
5,254,B,39,Female,1358,511,"(1358, 511)"
5,138,B,22,Male,1417,682,"(1417, 682)"
5,142,B,65,Female,1280,499,"(1280, 499)"
5,250,B,67,Female,600,870,"(600, 870)"
5,147,B,50,Female,901,592,"(901, 592)"
5,214,B,29,Female,907,547,"(907, 547)"
5,129,B,43,Female,1309,535,"(1309, 535)"
5,9,B,40,Male,1053,232,"(1053, 232)"
5,281,B,48,Female,1179,456,"(1179, 456)"
5,132,B,41,Female,537,293,"(537, 293)"
5,206,B,52,Female,1339,541,"(1339, 541)"
5,358,B,18,Female,1227,526,"(1227, 526)"
5,258,B,23,Male,1244,516,"(1244, 516)"
5,12,B,36,Male,2055,1729,"(2055, 1729)"
5,368,B,19,Female,997,330,"(997, 330)"
5,278,B,23,Male,565,321,"(565, 321)"
5,153,B,49,Female,1337,519,"(1337, 519)"
5,229,B,51,Female,1333,544,"(1333, 544)"
5,279,B,20,Male,1237,762,"(1237, 762)"
5,158,B,52,Female,787,321,"(787, 321)"
5,245,B,50,Female,537,318,"(537, 318)"
5,289,B,20,Male,540,314,"(540, 314)"
5,268,B,55,Female,678,321,"(678, 321)"
5,288,B,23,Female,569,322,"(569, 322)"
5,273,B,33,Male,1268,524,"(1268, 524)"
5,61,B,24,Female,778,376,"(778, 376)"
5,283,B,28,Female,1258,511,"(1258, 511)"
5,195,B,54,Female,590,350,"(590, 350)"
5,22,B,21,Male,579,322,"(579, 322)"
5,336,B,19,Female,1576,1122,"(1576, 1122)"
5,103,B,27,Male,1253,965,"(1253, 965)"
5,13,B,32,Female,525,195,"(525, 195)"
5,174,B,42,Male,1221,555,"(1221, 555)"
5,296,B,23,Male,1208,503,"(1208, 503)"
5,272,B,56,Female,908,347,"(908, 347)"
5,186,B,37,Male,1261,549,"(1261, 549)"
5,3,B,27,Male,1334,503,"(1334, 503)"
5,363,B,21,Male,1219,500,"(1219, 500)"
5,276,B,37,Male,1300,247,"(1300, 247)"
5,211,B,53,Female,842,593,"(842, 593)"
5,267,B,32,Male,912,551,"(912, 551)"
5,19,B,52,Female,628,328,"(628, 328)"
5,304,B,19,Female,1014,1807,"(1014, 1807)"
5,313,B,21,Female,1324,894,"(1324, 894)"
5,120,B,53,Female,1377,581,"(1377, 581)"
5,108,B,34,Female,1334,516,"(1334, 516)"
5,216,B,28,Female,1317,322,"(1317, 322)"
5,244,B,53,Female,1215,454,"(1215, 454)"
5,188,B,56,Male,1265,547,"(1265, 547)"
5,24,B,41,Male,1541,1027,"(1541, 1027)"
5,322,B,19,Female,1300,525,"(1300, 525)"
5,139,B,19,Male,1310,484,"(1310, 484)"
5,126,B,39,Female,955,390,"(955, 390)"
5,76,B,30,Male,1202,474,"(1202, 474)"
5,357,B,31,Female,1328,544,"(1328, 544)"
5,209,B,42,Female,1317,540,"(1317, 540)"
