Image,PID,Group,Age,Gender,ClickX,ClickY,Click
3,310,B,21,Female,1398,120,"(1398, 120)"
3,133,B,55,Male,850,491,"(850, 491)"
3,27,B,34,Female,314,616,"(314, 616)"
3,328,B,24,Female,997,155,"(997, 155)"
3,270,B,20,Male,464,174,"(464, 174)"
3,135,B,31,Female,320,170,"(320, 170)"
3,70,B,19,Male,958,142,"(958, 142)"
3,33,B,53,Female,1005,1793,"(1005, 1793)"
3,316,B,19,Female,715,1428,"(715, 1428)"
3,78,B,32,Female,945,1050,"(945, 1050)"
3,127,B,37,Female,1055,125,"(1055, 125)"
3,263,B,35,Male,1197,399,"(1197, 399)"
3,98,B,60,Female,1090,1328,"(1090, 1328)"
3,23,B,23,Male,1554,570,"(1554, 570)"
3,210,B,48,Male,1259,610,"(1259, 610)"
3,172,B,56,Female,1022,509,"(1022, 509)"
3,68,B,36,Female,1034,1204,"(1034, 1204)"
3,359,B,19,Female,948,164,"(948, 164)"
3,198,B,31,Female,1072,425,"(1072, 425)"
3,79,B,41,Female,390,137,"(390, 137)"
3,259,B,57,Male,1063,130,"(1063, 130)"
3,227,B,50,Female,928,161,"(928, 161)"
3,254,B,39,Female,738,511,"(738, 511)"
3,138,B,22,Male,962,501,"(962, 501)"
3,142,B,65,Female,925,469,"(925, 469)"
3,250,B,67,Female,1045,455,"(1045, 455)"
3,147,B,50,Female,955,496,"(955, 496)"
3,214,B,29,Female,949,477,"(949, 477)"
3,129,B,43,Female,972,433,"(972, 433)"
3,9,B,40,Male,321,563,"(321, 563)"
3,281,B,48,Female,1536,201,"(1536, 201)"
3,132,B,41,Female,1202,396,"(1202, 396)"
3,206,B,52,Female,1077,446,"(1077, 446)"
3,358,B,18,Female,637,535,"(637, 535)"
3,258,B,23,Male,825,507,"(825, 507)"
3,12,B,36,Male,1485,2478,"(1485, 2478)"
3,368,B,19,Female,1060,433,"(1060, 433)"
3,278,B,23,Male,1051,448,"(1051, 448)"
3,153,B,49,Female,956,470,"(956, 470)"
3,229,B,51,Female,971,459,"(971, 459)"
3,279,B,20,Male,1178,833,"(1178, 833)"
3,158,B,52,Female,904,773,"(904, 773)"
3,245,B,50,Female,371,132,"(371, 132)"
3,289,B,20,Male,770,424,"(770, 424)"
3,288,B,23,Female,527,142,"(527, 142)"
3,273,B,33,Male,998,148,"(998, 148)"
3,61,B,24,Female,847,460,"(847, 460)"
3,283,B,28,Female,761,144,"(761, 144)"
3,195,B,54,Female,390,245,"(390, 245)"
3,22,B,21,Male,570,482,"(570, 482)"
3,336,B,19,Female,1540,466,"(1540, 466)"
3,103,B,27,Male,1201,689,"(1201, 689)"
3,13,B,32,Female,615,535,"(615, 535)"
3,174,B,42,Male,747,438,"(747, 438)"
3,296,B,23,Male,932,121,"(932, 121)"
3,272,B,56,Female,954,540,"(954, 540)"
3,186,B,37,Male,357,396,"(357, 396)"
3,3,B,27,Male,1436,142,"(1436, 142)"
3,363,B,21,Male,494,29,"(494, 29)"
3,276,B,37,Male,674,462,"(674, 462)"
3,211,B,53,Female,886,1584,"(886, 1584)"
3,267,B,32,Male,684,796,"(684, 796)"
3,19,B,52,Female,963,539,"(963, 539)"
3,304,B,19,Female,1454,2114,"(1454, 2114)"
3,313,B,21,Female,330,894,"(330, 894)"
3,120,B,53,Female,993,463,"(993, 463)"
3,108,B,34,Female,1045,433,"(1045, 433)"
3,216,B,28,Female,1331,183,"(1331, 183)"
3,244,B,53,Female,1120,159,"(1120, 159)"
3,155,B,55,Female,1622,469,"(1622, 469)"
3,188,B,56,Male,995,477,"(995, 477)"
3,24,B,41,Male,1585,499,"(1585, 499)"
3,322,B,19,Female,1205,360,"(1205, 360)"
3,139,B,19,Male,1566,553,"(1566, 553)"
3,126,B,39,Female,876,1061,"(876, 1061)"
3,76,B,30,Male,471,195,"(471, 195)"
3,357,B,31,Female,619,113,"(619, 113)"
3,209,B,42,Female,1405,169,"(1405, 169)"
3,208,B,30,Female,928,544,"(928, 544)"
3,364,B,19,Female,918,188,"(918, 188)"
3,146,B,21,Male,566,147,"(566, 147)"
3,112,B,47,Female,1044,456,"(1044, 456)"
3,118,B,51,Female,680,460,"(680, 460)"
3,347,B,18,Female,1556,1170,"(1556, 1170)"
3,321,B,18,Female,454,111,"(454, 111)"
3,277,B,46,Male,1174,413,"(1174, 413)"
3,340,B,18,Female,1014,462,"(1014, 462)"
3,31,B,54,Male,983,141,"(983, 141)"
3,207,B,32,Male,987,132,"(987, 132)"
3,7,B,20,Male,609,438,"(609, 438)"
3,249,B,54,Female,1597,361,"(1597, 361)"
3,48,B,42,Female,985,435,"(985, 435)"
3,157,B,44,Female,1027,434,"(1027, 434)"
3,264,B,38,Female,974,530,"(974, 530)"
3,154,B,44,Female,969,163,"(969, 163)"
3,95,B,23,Male,968,509,"(968, 509)"
3,365,B,18,Male,1031,455,"(1031, 455)"
3,149,B,43,Female,987,153,"(987, 153)"
3,256,B,53,Female,618,527,"(618, 527)"
3,248,B,39,Female,508,174,"(508, 174)"
3,88,B,32,Male,1577,476,"(1577, 476)"
3,337,B,18,Female,668,793,"(668, 793)"
3,333,B,24,Male,152,804,"(152, 804)"
3,73,B,61,Female,1183,383,"(1183, 383)"
3,269,B,27,Male,1078,445,"(1078, 445)"
3,178,B,39,Female,1605,230,"(1605, 230)"
3,136,B,57,Male,469,157,"(469, 157)"
3,243,B,54,Female,1610,534,"(1610, 534)"
3,320,B,19,Female,1172,805,"(1172, 805)"
3,265,B,66,Female,1095,144,"(1095, 144)"
3,111,B,44,Male,635,470,"(635, 470)"
3,62,B,51,Female,1186,838,"(1186, 838)"
3,159,B,36,Male,828,570,"(828, 570)"
3,344,B,18,Female,960,488,"(960, 488)"
3,205,B,54,Female,1018,744,"(1018, 744)"
3,291,B,20,Male,419,204,"(419, 204)"
3,47,B,21,Male,450,722,"(450, 722)"
3,240,B,17,Female,1590,331,"(1590, 331)"
3,221,B,51,Female,862,465,"(862, 465)"
3,251,B,49,Female,644,518,"(644, 518)"
3,260,B,57,Female,1344,579,"(1344, 579)"
3,81,B,33,Female,928,425,"(928, 425)"
3,236,B,37,Female,909,140,"(909, 140)"
3,252,B,52,Female,619,470,"(619, 470)"
3,20,B,56,Female,970,207,"(970, 207)"
3,54,B,53,Female,1274,639,"(1274, 639)"
3,215,B,37,Female,1123,862,"(1123, 862)"
3,301,B,19,Male,1049,908,"(1049, 908)"
3,194,B,57,Female,951,466,"(951, 466)"
3,335,B,21,Female,300,302,"(300, 302)"
3,241,B,60,Male,1300,116,"(1300, 116)"
3,247,B,22,Female,909,137,"(909, 137)"
3,286,B,29,Female,1044,539,"(1044, 539)"
3,55,B,18,Male,601,851,"(601, 851)"
3,294,B,23,Male,1189,394,"(1189, 394)"
3,99,B,46,Female,979,162,"(979, 162)"
3,107,B,56,Female,1551,213,"(1551, 213)"
3,49,B,41,Male,921,548,"(921, 548)"
3,341,B,18,Female,1554,684,"(1554, 684)"
3,40,B,28,Female,375,56,"(375, 56)"
3,253,B,20,Male,905,913,"(905, 913)"
3,152,B,45,Female,1637,579,"(1637, 579)"
3,274,B,60,Female,342,609,"(342, 609)"
3,257,B,51,Male,1015,522,"(1015, 522)"
3,182,B,40,Female,917,174,"(917, 174)"
3,309,B,19,Female,1698,898,"(1698, 898)"
3,308,B,18,Male,870,1139,"(870, 1139)"
3,271,B,22,Male,597,401,"(597, 401)"
3,339,B,51,Female,976,129,"(976, 129)"
3,168,B,55,Male,1019,177,"(1019, 177)"
3,282,B,38,Female,968,491,"(968, 491)"
3,21,B,43,Female,369,514,"(369, 514)"
3,261,B,34,Male,1889,1040,"(1889, 1040)"
3,57,B,49,Female,359,620,"(359, 620)"
3,162,B,53,Female,350,274,"(350, 274)"
3,280,B,51,Female,522,770,"(522, 770)"
