Image,PID,Group,Age,Gender,ClickX,ClickY,Click
6,310,B,21,Female,312,758,"(312, 758)"
6,133,B,55,Male,747,1372,"(747, 1372)"
6,27,B,34,Female,715,942,"(715, 942)"
6,328,B,24,Female,383,764,"(383, 764)"
6,270,B,20,Male,544,770,"(544, 770)"
6,135,B,31,Female,264,1322,"(264, 1322)"
6,70,B,19,Male,341,1728,"(341, 1728)"
6,37,B,55,Female,235,1336,"(235, 1336)"
6,33,B,53,Female,529,731,"(529, 731)"
6,316,B,19,Female,728,679,"(728, 679)"
6,127,B,37,Female,403,1341,"(403, 1341)"
6,263,B,35,Male,264,817,"(264, 817)"
6,23,B,23,Male,955,299,"(955, 299)"
6,210,B,48,Male,552,896,"(552, 896)"
6,172,B,56,Female,525,1240,"(525, 1240)"
6,68,B,36,Female,562,1051,"(562, 1051)"
6,359,B,19,Female,522,916,"(522, 916)"
6,198,B,31,Female,336,1309,"(336, 1309)"
6,79,B,41,Female,281,1346,"(281, 1346)"
6,259,B,57,Male,752,1096,"(752, 1096)"
6,227,B,50,Female,420,1348,"(420, 1348)"
6,254,B,39,Female,649,724,"(649, 724)"
6,138,B,22,Male,726,1094,"(726, 1094)"
6,142,B,65,Female,636,768,"(636, 768)"
6,275,B,46,Male,469,875,"(469, 875)"
6,250,B,67,Female,714,692,"(714, 692)"
6,147,B,50,Female,693,1379,"(693, 1379)"
6,214,B,29,Female,237,1091,"(237, 1091)"
6,129,B,43,Female,791,1105,"(791, 1105)"
6,9,B,40,Male,328,949,"(328, 949)"
6,281,B,48,Female,786,1118,"(786, 1118)"
6,132,B,41,Female,816,1109,"(816, 1109)"
6,206,B,52,Female,208,716,"(208, 716)"
6,358,B,18,Female,586,715,"(586, 715)"
6,258,B,23,Male,312,753,"(312, 753)"
6,12,B,36,Male,974,300,"(974, 300)"
6,368,B,19,Female,506,674,"(506, 674)"
6,278,B,23,Male,744,1092,"(744, 1092)"
6,153,B,49,Female,631,1063,"(631, 1063)"
6,229,B,51,Female,837,1341,"(837, 1341)"
6,279,B,20,Male,501,1470,"(501, 1470)"
6,158,B,52,Female,452,1550,"(452, 1550)"
6,245,B,50,Female,278,1315,"(278, 1315)"
6,289,B,20,Male,391,771,"(391, 771)"
6,268,B,55,Female,808,1737,"(808, 1737)"
6,288,B,23,Female,131,518,"(131, 518)"
6,273,B,33,Male,534,709,"(534, 709)"
6,61,B,24,Female,640,1061,"(640, 1061)"
6,283,B,28,Female,535,647,"(535, 647)"
6,195,B,54,Female,638,704,"(638, 704)"
6,22,B,21,Male,113,1348,"(113, 1348)"
6,336,B,19,Female,942,1012,"(942, 1012)"
6,103,B,27,Male,277,1812,"(277, 1812)"
6,13,B,32,Female,532,1016,"(532, 1016)"
6,174,B,42,Male,510,750,"(510, 750)"
6,296,B,23,Male,595,1220,"(595, 1220)"
6,272,B,56,Female,581,1352,"(581, 1352)"
6,186,B,37,Male,695,1055,"(695, 1055)"
6,3,B,27,Male,747,1107,"(747, 1107)"
6,363,B,21,Male,934,289,"(934, 289)"
6,276,B,37,Male,813,1067,"(813, 1067)"
6,85,B,52,Male,475,1339,"(475, 1339)"
6,211,B,53,Female,637,1088,"(637, 1088)"
6,267,B,32,Male,579,1436,"(579, 1436)"
6,19,B,52,Female,533,979,"(533, 979)"
6,304,B,19,Female,426,1139,"(426, 1139)"
6,313,B,21,Female,738,1002,"(738, 1002)"
6,120,B,53,Female,655,723,"(655, 723)"
6,108,B,34,Female,324,767,"(324, 767)"
6,216,B,28,Female,600,718,"(600, 718)"
6,244,B,53,Female,759,1111,"(759, 1111)"
6,188,B,56,Male,827,1028,"(827, 1028)"
6,24,B,41,Male,781,1322,"(781, 1322)"
6,322,B,19,Female,551,788,"(551, 788)"
6,139,B,19,Male,586,1380,"(586, 1380)"
6,126,B,39,Female,831,1811,"(831, 1811)"
6,76,B,30,Male,807,1130,"(807, 1130)"
6,357,B,31,Female,300,714,"(300, 714)"
6,209,B,42,Female,619,726,"(619, 726)"
6,228,B,45,Male,233,1195,"(233, 1195)"
6,208,B,30,Female,314,778,"(314, 778)"
6,28,B,30,Male,897,914,"(897, 914)"
6,364,B,19,Female,448,1056,"(448, 1056)"
6,146,B,21,Male,254,1360,"(254, 1360)"
6,112,B,47,Female,61,1676,"(61, 1676)"
6,118,B,51,Female,835,1325,"(835, 1325)"
6,347,B,18,Female,626,1031,"(626, 1031)"
6,321,B,18,Female,234,1334,"(234, 1334)"
6,277,B,46,Male,479,1043,"(479, 1043)"
6,340,B,18,Female,806,1341,"(806, 1341)"
6,31,B,54,Male,253,307,"(253, 307)"
6,207,B,32,Male,607,1106,"(607, 1106)"
6,7,B,20,Male,353,746,"(353, 746)"
6,249,B,54,Female,791,1099,"(791, 1099)"
6,48,B,42,Female,631,729,"(631, 729)"
6,157,B,44,Female,513,834,"(513, 834)"
6,264,B,38,Female,633,1695,"(633, 1695)"
6,154,B,44,Female,891,1088,"(891, 1088)"
6,95,B,23,Male,513,777,"(513, 777)"
6,365,B,18,Male,653,1053,"(653, 1053)"
6,149,B,43,Female,162,719,"(162, 719)"
6,256,B,53,Female,551,1348,"(551, 1348)"
6,248,B,39,Female,805,1083,"(805, 1083)"
6,88,B,32,Male,748,886,"(748, 886)"
6,337,B,18,Female,775,1278,"(775, 1278)"
6,333,B,24,Male,147,499,"(147, 499)"
6,73,B,61,Female,316,1814,"(316, 1814)"
6,269,B,27,Male,772,1086,"(772, 1086)"
6,178,B,39,Female,552,966,"(552, 966)"
6,136,B,57,Male,199,1336,"(199, 1336)"
6,243,B,54,Female,544,727,"(544, 727)"
6,320,B,19,Female,814,1339,"(814, 1339)"
6,265,B,66,Female,634,1078,"(634, 1078)"
6,111,B,44,Male,529,1190,"(529, 1190)"
6,62,B,51,Female,736,1391,"(736, 1391)"
6,159,B,36,Male,367,1337,"(367, 1337)"
6,344,B,18,Female,585,1112,"(585, 1112)"
6,205,B,54,Female,897,1795,"(897, 1795)"
6,291,B,20,Male,582,801,"(582, 801)"
6,47,B,21,Male,587,1011,"(587, 1011)"
6,240,B,17,Female,307,741,"(307, 741)"
6,221,B,51,Female,506,769,"(506, 769)"
6,251,B,49,Female,488,1352,"(488, 1352)"
6,260,B,57,Female,798,1133,"(798, 1133)"
6,81,B,33,Female,201,541,"(201, 541)"
6,236,B,37,Female,750,1072,"(750, 1072)"
6,252,B,52,Female,633,1110,"(633, 1110)"
6,20,B,56,Female,551,1110,"(551, 1110)"
6,54,B,53,Female,687,1091,"(687, 1091)"
6,215,B,37,Female,561,1527,"(561, 1527)"
6,301,B,19,Male,349,1012,"(349, 1012)"
6,194,B,57,Female,747,1061,"(747, 1061)"
6,335,B,21,Female,559,834,"(559, 834)"
6,241,B,60,Male,461,1351,"(461, 1351)"
6,247,B,22,Female,588,1002,"(588, 1002)"
6,286,B,29,Female,207,697,"(207, 697)"
6,55,B,18,Male,400,1737,"(400, 1737)"
6,294,B,23,Male,303,1832,"(303, 1832)"
6,99,B,46,Female,633,668,"(633, 668)"
6,107,B,56,Female,529,1337,"(529, 1337)"
6,49,B,41,Male,749,756,"(749, 756)"
6,341,B,18,Female,528,876,"(528, 876)"
6,253,B,20,Male,627,610,"(627, 610)"
6,152,B,45,Female,855,737,"(855, 737)"
6,274,B,60,Female,513,682,"(513, 682)"
6,257,B,51,Male,698,761,"(698, 761)"
6,182,B,40,Female,726,1449,"(726, 1449)"
6,309,B,19,Female,809,926,"(809, 926)"
6,308,B,18,Male,574,1060,"(574, 1060)"
6,271,B,22,Male,481,779,"(481, 779)"
6,339,B,51,Female,573,753,"(573, 753)"
6,168,B,55,Male,910,1166,"(910, 1166)"
6,282,B,38,Female,299,729,"(299, 729)"
6,21,B,43,Female,517,1046,"(517, 1046)"
6,261,B,34,Male,639,1426,"(639, 1426)"
6,57,B,49,Female,519,1210,"(519, 1210)"
6,162,B,53,Female,807,1072,"(807, 1072)"
6,280,B,51,Female,315,1005,"(315, 1005)"
