Image,PID,Group,Age,Gender,ClickX,ClickY,Click
2,334,A,20,Female,580,403,"(580, 403)"
2,4,A,20,Male,867,446,"(867, 446)"
2,315,A,18,Male,1716,1013,"(1716, 1013)"
2,295,A,20,Male,598,446,"(598, 446)"
2,151,A,50,Female,493,887,"(493, 887)"
2,93,A,48,Male,650,402,"(650, 402)"
2,201,A,28,Female,689,591,"(689, 591)"
2,343,A,20,Female,492,622,"(492, 622)"
2,5,A,27,Male,445,331,"(445, 331)"
2,348,A,18,Female,492,475,"(492, 475)"
2,213,A,51,Female,519,535,"(519, 535)"
2,237,A,19,Female,619,462,"(619, 462)"
2,171,A,51,Male,1207,504,"(1207, 504)"
2,161,A,41,Female,640,406,"(640, 406)"
2,63,A,26,Female,486,540,"(486, 540)"
2,109,A,30,Female,606,543,"(606, 543)"
2,45,A,34,Female,619,546,"(619, 546)"
2,58,A,59,Male,611,557,"(611, 557)"
2,222,A,42,Male,620,92,"(620, 92)"
2,60,A,20,Male,1435,793,"(1435, 793)"
2,25,A,26,Female,1139,542,"(1139, 542)"
2,180,A,38,Male,681,561,"(681, 561)"
2,202,A,46,Female,710,475,"(710, 475)"
2,115,A,33,Female,292,324,"(292, 324)"
2,327,A,19,Female,705,975,"(705, 975)"
2,35,A,43,Female,1054,829,"(1054, 829)"
2,30,A,64,Female,699,549,"(699, 549)"
2,349,A,19,Male,1440,905,"(1440, 905)"
2,179,A,35,Female,1440,791,"(1440, 791)"
2,134,A,37,Male,1010,797,"(1010, 797)"
2,67,A,59,Female,666,549,"(666, 549)"
2,43,A,31,Female,1100,518,"(1100, 518)"
2,71,A,47,Female,645,560,"(645, 560)"
2,220,A,21,Female,384,539,"(384, 539)"
2,170,A,46,Female,1421,837,"(1421, 837)"
2,167,A,38,Male,1431,865,"(1431, 865)"
2,104,A,50,Male,565,384,"(565, 384)"
2,163,A,46,Male,1803,1016,"(1803, 1016)"
2,297,A,51,Male,569,472,"(569, 472)"
2,303,A,35,Female,700,688,"(700, 688)"
2,354,A,19,Female,470,292,"(470, 292)"
2,197,A,50,Female,704,395,"(704, 395)"
2,11,A,31,Female,768,331,"(768, 331)"
2,113,A,20,Male,730,415,"(730, 415)"
2,46,A,45,Female,699,493,"(699, 493)"
2,329,A,20,Female,1122,820,"(1122, 820)"
2,92,A,28,Male,696,494,"(696, 494)"
2,300,A,23,Male,517,284,"(517, 284)"
2,41,A,28,Female,379,331,"(379, 331)"
2,302,A,18,Female,1173,266,"(1173, 266)"
2,224,A,23,Female,957,550,"(957, 550)"
2,318,A,19,Female,1177,642,"(1177, 642)"
2,338,A,18,Female,1172,889,"(1172, 889)"
2,66,A,30,Female,347,323,"(347, 323)"
2,192,A,49,Female,1211,603,"(1211, 603)"
2,326,A,18,Male,315,435,"(315, 435)"
2,176,A,20,Male,1347,665,"(1347, 665)"
2,218,A,47,Female,684,315,"(684, 315)"
2,38,A,39,Female,679,246,"(679, 246)"
2,212,A,53,Female,918,1008,"(918, 1008)"
2,6,A,53,Female,1084,579,"(1084, 579)"
2,105,A,32,Male,410,95,"(410, 95)"
2,314,A,25,Female,1279,873,"(1279, 873)"
