Image,PID,Group,Age,Gender,ClickX,ClickY,Click
8,334,A,20,Female,1187,337,"(1187, 337)"
8,4,A,20,Male,550,384,"(550, 384)"
8,315,A,18,Male,1605,1091,"(1605, 1091)"
8,295,A,20,Male,607,302,"(607, 302)"
8,151,A,50,Female,1339,970,"(1339, 970)"
8,93,A,48,Male,650,387,"(650, 387)"
8,343,A,20,Female,562,515,"(562, 515)"
8,5,A,27,Male,1503,350,"(1503, 350)"
8,348,A,18,Female,742,952,"(742, 952)"
8,213,A,51,Female,1452,679,"(1452, 679)"
8,237,A,19,Female,587,355,"(587, 355)"
8,171,A,51,Male,1347,686,"(1347, 686)"
8,161,A,41,Female,1099,445,"(1099, 445)"
8,63,A,26,Female,1490,381,"(1490, 381)"
8,109,A,30,Female,625,410,"(625, 410)"
8,45,A,34,Female,1880,967,"(1880, 967)"
8,58,A,59,Male,1057,531,"(1057, 531)"
8,222,A,42,Male,1485,457,"(1485, 457)"
8,60,A,20,Male,662,910,"(662, 910)"
8,25,A,26,Female,664,430,"(664, 430)"
8,180,A,38,Male,644,519,"(644, 519)"
8,202,A,46,Female,710,390,"(710, 390)"
8,115,A,33,Female,1568,449,"(1568, 449)"
8,327,A,19,Female,705,368,"(705, 368)"
8,125,A,17,Male,1252,484,"(1252, 484)"
8,35,A,43,Female,750,531,"(750, 531)"
8,30,A,64,Female,608,406,"(608, 406)"
8,349,A,19,Male,1857,1321,"(1857, 1321)"
8,179,A,35,Female,1529,349,"(1529, 349)"
8,134,A,37,Male,1442,352,"(1442, 352)"
8,67,A,59,Female,583,372,"(583, 372)"
8,43,A,31,Female,1168,667,"(1168, 667)"
8,71,A,47,Female,983,970,"(983, 970)"
8,220,A,21,Female,832,470,"(832, 470)"
8,170,A,46,Female,1463,390,"(1463, 390)"
8,167,A,38,Male,767,323,"(767, 323)"
8,104,A,50,Male,1499,427,"(1499, 427)"
8,163,A,46,Male,1785,984,"(1785, 984)"
8,297,A,51,Male,1018,511,"(1018, 511)"
8,303,A,35,Female,1132,897,"(1132, 897)"
8,354,A,19,Female,800,497,"(800, 497)"
8,197,A,50,Female,1024,469,"(1024, 469)"
8,11,A,31,Female,747,475,"(747, 475)"
8,113,A,20,Male,630,300,"(630, 300)"
8,46,A,45,Female,638,945,"(638, 945)"
8,329,A,20,Female,798,884,"(798, 884)"
8,92,A,28,Male,747,374,"(747, 374)"
8,300,A,23,Male,525,921,"(525, 921)"
8,41,A,28,Female,615,361,"(615, 361)"
8,361,A,19,Female,1546,770,"(1546, 770)"
8,302,A,18,Female,1563,623,"(1563, 623)"
8,224,A,23,Female,957,537,"(957, 537)"
8,318,A,19,Female,1314,1298,"(1314, 1298)"
8,338,A,18,Female,606,859,"(606, 859)"
8,66,A,30,Female,1472,446,"(1472, 446)"
8,192,A,49,Female,1483,448,"(1483, 448)"
8,326,A,18,Male,1506,765,"(1506, 765)"
8,176,A,20,Male,659,542,"(659, 542)"
8,218,A,47,Female,362,267,"(362, 267)"
8,193,A,48,Female,545,465,"(545, 465)"
8,38,A,39,Female,465,307,"(465, 307)"
8,212,A,53,Female,770,466,"(770, 466)"
8,6,A,53,Female,623,499,"(623, 499)"
8,105,A,32,Male,932,937,"(932, 937)"
8,314,A,25,Female,704,833,"(704, 833)"
8,156,A,43,Male,517,339,"(517, 339)"
8,231,A,18,Female,707,373,"(707, 373)"
8,185,A,26,Female,1479,404,"(1479, 404)"
8,52,A,28,Female,1207,474,"(1207, 474)"
8,184,A,53,Female,581,362,"(581, 362)"
8,65,A,25,Female,498,313,"(498, 313)"
8,165,A,31,Female,624,309,"(624, 309)"
8,56,A,21,Male,562,498,"(562, 498)"
8,183,A,39,Female,1436,435,"(1436, 435)"
8,323,A,19,Female,876,1416,"(876, 1416)"
8,90,A,20,Female,1399,457,"(1399, 457)"
8,2,A,17,Male,489,315,"(489, 315)"
8,116,A,28,Male,1450,340,"(1450, 340)"
8,123,A,40,Female,1300,958,"(1300, 958)"
8,18,A,40,Female,620,362,"(620, 362)"
8,239,A,46,Female,1136,1037,"(1136, 1037)"
8,331,A,18,Female,657,462,"(657, 462)"
8,87,A,17,Female,932,447,"(932, 447)"
8,117,A,44,Female,643,481,"(643, 481)"
8,324,A,19,Female,1520,368,"(1520, 368)"
8,164,A,54,Female,1521,341,"(1521, 341)"
8,189,A,44,Female,630,352,"(630, 352)"
8,181,A,54,Female,645,948,"(645, 948)"
8,14,A,20,Male,1382,365,"(1382, 365)"
8,1,A,20,Male,475,544,"(475, 544)"
8,89,A,20,Female,713,451,"(713, 451)"
8,200,A,31,Female,1467,462,"(1467, 462)"
8,325,A,18,Female,640,746,"(640, 746)"
8,110,A,22,Male,1475,651,"(1475, 651)"
8,175,A,43,Male,1168,701,"(1168, 701)"
8,145,A,19,Female,1132,489,"(1132, 489)"
8,292,A,54,Male,976,1031,"(976, 1031)"
8,312,A,18,Female,566,437,"(566, 437)"
8,122,A,39,Male,1451,634,"(1451, 634)"
8,173,A,41,Female,710,427,"(710, 427)"
8,319,A,27,Female,748,484,"(748, 484)"
8,190,A,48,Female,499,285,"(499, 285)"
8,305,A,20,Male,480,908,"(480, 908)"
8,217,A,32,Male,1479,716,"(1479, 716)"
8,287,A,21,Male,665,433,"(665, 433)"
8,94,A,33,Male,337,521,"(337, 521)"
8,196,A,28,Female,1535,482,"(1535, 482)"
8,59,A,15,Female,762,391,"(762, 391)"
8,234,A,21,Male,1639,170,"(1639, 170)"
8,80,A,19,Male,1524,413,"(1524, 413)"
8,53,A,20,Male,1435,443,"(1435, 443)"
8,131,A,54,Male,549,382,"(549, 382)"
8,299,A,39,Male,381,718,"(381, 718)"
8,204,A,40,Female,354,465,"(354, 465)"
8,141,A,21,Male,707,490,"(707, 490)"
8,143,A,56,Male,1472,352,"(1472, 352)"
8,96,A,24,Female,1031,975,"(1031, 975)"
8,219,A,24,Female,625,350,"(625, 350)"
8,97,A,50,Male,1520,517,"(1520, 517)"
8,34,A,20,Male,1083,450,"(1083, 450)"
8,235,A,43,Female,1157,712,"(1157, 712)"
8,39,A,21,Female,534,923,"(534, 923)"
8,230,A,55,Female,705,271,"(705, 271)"
8,15,A,52,Female,1485,684,"(1485, 684)"
8,128,A,20,Male,704,454,"(704, 454)"
8,160,A,24,Male,1554,450,"(1554, 450)"
8,121,A,58,Female,1184,685,"(1184, 685)"
8,307,A,19,Female,729,400,"(729, 400)"
8,32,A,54,Male,560,368,"(560, 368)"
8,8,A,30,Female,620,381,"(620, 381)"
8,367,A,20,Male,1212,267,"(1212, 267)"
8,144,A,22,Male,465,408,"(465, 408)"
8,298,A,37,Female,1099,470,"(1099, 470)"
8,169,A,61,Female,1560,707,"(1560, 707)"
8,17,A,52,Female,451,468,"(451, 468)"
8,26,A,39,Female,677,337,"(677, 337)"
8,342,A,18,Male,578,409,"(578, 409)"
8,100,A,16,Female,820,944,"(820, 944)"
8,177,A,36,Female,757,496,"(757, 496)"
8,91,A,52,Female,1536,494,"(1536, 494)"
8,148,A,42,Female,704,968,"(704, 968)"
8,124,A,59,Male,1206,689,"(1206, 689)"
8,72,A,26,Female,611,501,"(611, 501)"
8,119,A,35,Female,1177,689,"(1177, 689)"
8,317,A,18,Female,1241,938,"(1241, 938)"
8,44,A,17,Female,1472,478,"(1472, 478)"
8,232,A,17,Female,570,294,"(570, 294)"
8,233,A,22,Male,698,421,"(698, 421)"
8,77,A,23,Male,865,486,"(865, 486)"
8,106,A,51,Female,1500,504,"(1500, 504)"
8,332,A,22,Female,1424,44,"(1424, 44)"
8,64,A,22,Male,1488,462,"(1488, 462)"
8,311,A,27,Female,575,364,"(575, 364)"
8,36,A,23,Male,1334,523,"(1334, 523)"
8,130,A,42,Female,1180,465,"(1180, 465)"
8,150,A,35,Female,699,445,"(699, 445)"
8,83,A,51,Female,814,452,"(814, 452)"
8,51,A,25,Female,1152,949,"(1152, 949)"
8,199,A,56,Female,395,318,"(395, 318)"
8,16,A,20,Male,631,344,"(631, 344)"
8,69,A,22,Female,1083,458,"(1083, 458)"
