Gazepoint Analysis,v6.8.0
Processed on,Tue May  7 15:43:40 2024

Note: -1 values indicate an AOI that was never viewed
AOI Summary
Media ID, Media Name, Media Duration (sec - U=UserControlled), AOI ID, AOI Name, AOI Start (sec), AOI Duration (sec - U=UserControlled), Viewers (#), Total Viewers (#), Ave Time to 1st View(sec) -1.0 means not viewed, Ave Time Viewed (sec), Ave Time Viewed (%), Ave Fixations (#), Revisitors (#), Average Revisits (#), Average Clicks (#), 
2, INDEPENDENT_14_03_24_A.png, 10.000, 21, AOI 21, 0.000, 10.000, 10, 13, 3.243, 0.332, 3.316, 1.600, 2, 1.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 22, AOI 22, 10.000, 0.000, 0, 13, 0.000, 0.000, 0.000, 0.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 23, AOI 23, 0.000, 10.000, 12, 13, 1.652, 0.723, 7.227, 4.000, 10, 3.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 24, AOI 24, 0.000, 10.000, 5, 13, 1.367, 0.316, 3.160, 2.000, 2, 2.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 25, AOI 25, 0.000, 10.000, 9, 13, 3.145, 0.333, 3.334, 2.222, 6, 1.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 26, AOI 26, 0.000, 10.000, 5, 13, 5.527, 0.319, 3.188, 1.400, 2, 1.500, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 27, AOI 27, 0.000, 10.000, 5, 13, 4.810, 0.174, 1.741, 1.200, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 28, AOI 28, 0.000, 10.000, 1, 13, 5.371, 0.161, 1.614, 1.000, 0, 0.000, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 29, AOI 29, 0.000, 10.000, 13, 13, 2.592, 1.294, 12.936, 5.231, 11, 3.818, 0.000, 
2, INDEPENDENT_14_03_24_A.png, 10.000, 30, AOI 30, 0.000, 10.000, 12, 13, 4.614, 0.618, 6.179, 3.083, 9, 2.222, 0.000, 
